,0
967,-13.835633241337014
968,-13.81478074210365
969,-13.793928242870287
970,-13.773075743636923
971,-13.752223244403556
972,-13.731370745170192
973,-13.710518245936829
974,-13.689665746703465
975,-13.668813247470101
976,-13.647960748236738
977,-13.627108249003374
978,-13.60625574977001
979,-13.585403250536647
980,-13.564550751303283
981,-13.543698252069916
982,-13.522845752836552
983,-13.501993253603189
984,-13.481140754369825
985,-13.460288255136462
986,-13.439435755903098
987,-13.418583256669734
988,-13.39773075743637
989,-13.376878258203007
990,-13.356025758969643
991,-13.335173259736276
992,-13.314320760502913
993,-13.293468261269549
994,-13.272615762036185
995,-13.251763262802822
996,-13.230910763569458
997,-13.210058264336094
998,-13.18920576510273
999,-13.168353265869367
1000,-13.147500766636
1001,-13.126648267402636
1002,-13.105795768169273
1003,-13.084943268935909
1004,-13.064090769702545
1005,-13.043238270469182
1006,-13.022385771235818
1007,-13.001533272002455
1008,-12.980680772769091
1009,-12.959828273535727
1010,-12.93897577430236
1011,-12.918123275068996
1012,-12.897270775835633
1013,-12.87641827660227
1014,-12.855565777368906
1015,-12.834713278135542
1016,-12.813860778902178
1017,-12.793008279668815
1018,-12.772155780435451
1019,-12.751303281202087
1020,-12.73045078196872
1021,-12.709598282735357
1022,-12.688745783501993
1023,-12.66789328426863
1024,-12.647040785035266
1025,-12.626188285801902
1026,-12.605335786568538
1027,-12.584483287335175
1028,-12.563630788101811
1029,-12.542778288868444
1030,-12.52192578963508
1031,-12.501073290401717
1032,-12.480220791168353
1033,-12.45936829193499
1034,-12.438515792701626
1035,-12.417663293468262
1036,-12.396810794234899
1037,-12.375958295001535
1038,-12.355105795768171
1039,-12.334253296534804
1040,-12.31340079730144
1041,-12.292548298068077
1042,-12.271695798834713
1043,-12.25084329960135
1044,-12.229990800367986
1045,-12.209138301134622
1046,-12.188285801901259
1047,-12.167433302667895
1048,-12.146580803434532
1049,-12.125728304201164
1050,-12.1048758049678
1051,-12.084023305734437
1052,-12.063170806501073
1053,-12.04231830726771
1054,-12.021465808034346
1055,-12.000613308800983
1056,-11.979760809567619
1057,-11.958908310334255
1058,-11.938055811100888
1059,-11.917203311867524
1060,-11.89635081263416
1061,-11.875498313400797
1062,-11.854645814167434
1063,-11.83379331493407
1064,-11.812940815700706
1065,-11.792088316467343
1066,-11.771235817233979
1067,-11.750383318000615
1068,-11.729530818767248
1069,-11.708678319533885
1070,-11.687825820300521
1071,-11.666973321067157
1072,-11.646120821833794
1073,-11.62526832260043
1074,-11.604415823367066
1075,-11.583563324133703
1076,-11.56271082490034
1077,-11.541858325666976
1078,-11.521005826433608
1079,-11.500153327200245
1080,-11.479300827966881
1081,-11.458448328733517
1082,-11.437595829500154
1083,-11.41674333026679
1084,-11.395890831033427
1085,-11.375038331800063
1086,-11.3541858325667
1087,-11.333333333333332
1088,-11.312480834099969
1089,-11.291628334866605
1090,-11.270775835633241
1091,-11.249923336399878
1092,-11.229070837166514
1093,-11.20821833793315
1094,-11.187365838699787
1095,-11.166513339466423
1096,-11.14566084023306
1097,-11.124808340999692
1098,-11.103955841766329
1099,-11.083103342532965
1100,-11.062250843299601
1101,-11.041398344066238
1102,-11.020545844832874
1103,-10.99969334559951
